"title","writer","page","price"
"모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"엑셀 데이터 분석 바이블","최준선 ",712,34200
"쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"실전 시계열 분석","에일린 닐슨 ",568,34200
"스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"러닝 SQL","앨런 볼리외 ",456,27000
"이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"GAN 첫걸음","타리크 라시드 ",280,22500
"디노 첫걸음","페르난도 돌리오 ",160,15300
"맛있는 디자인 일러스트레이터 CC 2021","빨간고래(박정아) ",504,21600
"맛있는 디자인 애프터 이펙트 CC 2021","이수정 ",500,21600
"맛있는 디자인 포토샵 CC 2021","윤이사라(포완카) , 김신애 ",448,18900
"이것이 안드로이드다 with 코틀린(개정판)","고돈호 ",768,30600
"친절한 딥러닝 수학","다테이시 겐고 ",356,25200
"모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는)","장유민 ",344,23400
"웹 애플리케이션 보안","앤드루 호프먼 ",372,27000
"사토시의 서","필 샴페인 ",368,22500
"자바스크립트는 모든 곳에 존재한다","애덤 스콧 ",400,27000
"처음 배우는 리액트 네이티브","김범준 ",492,26100
"처음 배우는 셸 스크립트","장현정 ",408,27000
"컨테이너 보안","리즈 라이스 ",252,21600
"플러터 인 액션","에릭 윈드밀 ",460,29700
"맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2021","김덕영 , 심수진 , 윤성우 , 이수정 , 정지원 ",544,20700
"진지한 파이썬","쥘리앵 당주 ",308,25200
"맛있는 디자인 포토샵&일러스트레이터 CC 2021","빨간고래(박정아) , 윤이사라(포완카) ",532,19800
"이것이 C#이다(개정판)","박상현 ",856,30600
"소프트웨어 스펙의 모든 것","김익환 , 전규현 ",348,19800
"머신러닝을 위한 실전 데이터셋","칼리드 엘 에맘 , 루시 모스케라 , 리처드 홉트로프 ",172,16200
"혼자 공부하는 자바스크립트","윤인성 ",496,21600
"일러스트레이터 실무 강의","장보경 ",356,21600
"실전 보고서 작성 기술 with 파워포인트, 워드, 한글","홍장표 ",304,16200
"비즈니스 머신러닝","더그 허전 , 리처드 니콜 ",344,22500
"처음 배우는 애저 : Azure Portal로 배우는 애저 도입부터 활용까지","김도균 ",532,30600
"혼자 공부하는 머신러닝+딥러닝","박해선 ",580,23400
"엑셀 함수&수식 바이블 : 실무에 최적화된 엑셀 사용서 (모든 버전 사용 가능)","최준선 ",928,34200
"처음 배우는 스위프트","탠메이 박시 ",396,23400
"처음부터 제대로 배우는 라라벨","맷 스타우퍼 ",716,43200
"안전한 인공지능 시스템을 위한 심층 신경망 강화","케이티 워 ",256,21600
"쿠버네티스 모범 사례","브렌던 번스 , 에디 비얄바 , 데이브 스트레벨 , 라클런 이븐슨 ",304,23400
"클라우드 핀옵스","J. R. 스토먼트 , 마이크 풀러 ",340,23400
"밑바닥부터 시작하는 딥러닝 3","사이토 고키 ",552,34200
"이것이 우분투 리눅스다(개정판)","우재남 ",812,28800
"처음 배우는 딥러닝 챗봇","조경래 ",404,23400
"게임 엔진 블랙 북 : 울펜슈타인 3D","파비앙 상글라르 ",340,31500
"왕초보 판매자도 파워셀러가 되는 네이버 스마트스토어 시작하기","서미진 ",360,16920
"키워드 검색량 조회 전략으로 조회수와 방문자 늘리기 네이버 블로그&포스트 만들기","정진수 ",280,12600
"누구나 아는 나만 모르는 IT 이성원 강사의 3분 엑셀","이성원 ",284,14400
"만들면서 배우는 픽셀 아트","김윤정 ",364,25200
"쉽게 배워 바로 써먹는 디자인 패턴","이호진 ",540,31500
"웹어셈블리 인 액션","제러드 갤런트 ",528,34200
"파이썬과 대스크를 활용한 고성능 데이터 분석","제시 대니얼 ",360,25200
"초보자를 위한 언리얼 엔진 4 입문","아라카와 다쿠야 ",444,31500
"분산원장 기술","로저 워튼호퍼 ",208,19800
"회사에서 바로 통하는 3ds Max + V-Ray","강석창 ",800,37800
"GAN 인 액션","야쿠프 란그르 , 블라디미르 보크 ",284,27000
"처음 시작하는 파이썬(2판)","빌 루바노빅 ",744,32400
"처음 시작하는 딥러닝","세스 와이드먼 ",292,20700
"초소형 머신러닝 TinyML","피트 워든 , 대니얼 시투나야케 ",568,36000
"퀀트 전략을 위한 인공지능 트레이딩","김태헌 , 신준호 ",380,25200
"회사에서 바로 통하는 실무 엑셀 매크로&VBA","김경자 ",424,21600
"허팝만 따라 해봐! 유튜브 정석","허팝 , 안정기 ",300,13500
"이것이 취업을 위한 코딩 테스트다 with 파이썬","나동빈 ",604,30600
"유닉스의 탄생","브라이언 커니핸 ",328,18000
"회사에서 바로 통하는  오토캐드 AutoCAD 2021","심미현 ",656,25200
"핸즈온 비지도 학습","안쿠르 A. 파텔 ",444,30600
"나의 첫 파이썬(2판)","에릭 마테스 ",648,27000
"파이썬 증권 데이터 분석","김황후 ",460,28800
"혼자 공부하는 첫 프로그래밍 with 파이썬","문현일 ",336,15300
"실전 자바 소프트웨어 개발","라울-게이브리얼 우르마 , 리처드 워버턴 ",216,16200
"클라우드 네이티브","보리스 숄 , 트렌트 스완슨 , 피터 야우쇼베츠 ",252,19800
"이더리움 디앱 개발","로베르토 인판테 ",604,36000
"딥러닝과 바둑","막스 펌펄라 , 케빈 퍼거슨 ",444,32400
"필수 공식으로 하루에 하나씩 정복하는 엑셀 업무 공략집","최준선 ",304,17100
"만들면서 배우는 워드프레스 (개정2판)","박현우 ",484,23400
"이것이 MySQL이다(개정판)","우재남 ",724,28800
"회사에서 바로 통하는 파워포인트 FOR STARTERS","이화진 ",248,13500
"핸즈온 머신러닝(2판)","오렐리앙 제롱(Aurelien Geron) ",952,49500
"BPF로 리눅스 관측 가능성 향상하기","데이비드 칼라베라 , 로렌초 폰타나 ",236,19800
"배워서 바로 쓰는 스프링 프레임워크","애시시 사린 , 제이 샤르마 ",896,45000
"배워서 바로 쓰는 스프링 부트 2","히로스에 다케시 , 미야바야시 다케히로 ",376,25200
"학교에서 알려주지 않는 17가지 실무 개발 기술","이기곤 ",308,18000
"이것이 리눅스다 (개정판) with RedHat CentOS 8","우재남 ",812,28800
"회사에서 바로 통하는  실무 엑셀+파워포인트+워드&한글(개정판)","전미진 , 이화진 , 신면철 ",684,19800
"줄리아를 생각하다","벤 로언스 , 앨런 다우니 ",384,27000
"리팩터링 2판 (리팩토링 개정판)","마틴 파울러 ",550,31500
"Head First Go","제이 맥가브렌 ",556,32400
"bash를 활용한 사이버 보안 운영","폴 트론코네 , 칼 앨빙 ",384,25200
"배워서 바로 쓰는 14가지 AWS 구축 패턴","가와카미 아키히사 ",208,16200
"처음 배우는 플러터 : 예제로 배우는 크로스 플랫폼 애플리케이션 개발","유동환 ",244,16200
"파이썬으로 배우는 딥러닝 교과서","이시카와 아키히코 ",712,34200
"맛있는 디자인 프리미어 프로 CC 2020","김덕영 , 심수진 , 윤성우 ",504,21600
"실전 아파치 카프카","사사키 도루 , 이와사키 마사다케 , 사루타 고스케 , 쓰즈키 마사요시 , 요시다 고요 ",388,24300
"출판사가 OK하는 책쓰기","최현우 ",292,13500
"이것이 데이터 분석이다 with 파이썬","윤기태 ",360,25200
"개발 7년차, 매니저 1일차","카미유 푸르니에 ",372,19800
"고객이 보이는 구글 애널리틱스(2판)","문준영 ",576,27000
"라임튜브와 함께하는 우리 아이 유튜브 스타 만들기","라임파파(길기홍) ",224,13500
"세상에서 제일 친절한 엑셀 매크로&VBA","박재영 ",240,14400
"팀 개발을 위한 Git, GitHub 시작하기","정호영 , 진유림 ",332,16200
"회사에서 바로 통하는 엑셀 FOR STARTERS","전미진 ",296,13500
"창업의 과학","다도코로 마사유키 ",308,22500
"쿠버네티스를 활용한 클라우드 네이티브 데브옵스","존 어런들 , 저스틴 도밍거스 ",420,28800
"고전 컴퓨터 알고리즘 인 파이썬","데이비드 코펙 ",272,22500
"그로킹 딥러닝 : 알기 쉬운 비유와 기초 수학으로 시작하는","앤드루 트라스크 ",388,23400
"알쏭달쏭 C 언어 180제","시바타 보요 , 유리 가오루 ",474,25200
"회사에서 바로 통하는 실무 엑셀 최강 업무 활용법","전미진 ",512,18900
"파이썬으로 배우는 통계학 교과서","바바 신야 ",380,27000
"소문난 명강의 : 김도형의 데이터 사이언스 스쿨(수학 편)","김도형 ",880,49500
"미술관에 GAN 딥러닝 실전 프로젝트","데이비드 포스터 ",356,28800
"데이터 전처리 대전","모토하시 도모미쓰 ",368,27000
"밑바닥부터 시작하는 비트코인","송재준(Jimmy Song) ",408,29700
"파이썬 웹 프로그래밍, 실전편(개정판)","김석훈 ",488,28800
"펭귄브로의 3분 딥러닝, 파이토치맛","김건우 , 염상준 ",344,25200
"보고서 작성 실무 강의","홍장표 ",312,16200
"편집 디자인 강의 with 인디자인(10년차 디자이너에게 1:1로 배우는) (개정판)","황지완 ",420,23400
"다이내믹 프로그래밍 완전 정복","미나크시 , 카말 라와트 ",220,16200
"스위프트 프로그래밍(3판)","야곰 ",580,28800
"엑셀 매크로&VBA 바이블","최준선 ",1044,40500
"최고의 아빠가 알려주는 1등 코딩, 스크래치 3.0","김종훈 ",416,17100
"더 잘 검색되고 더 정확히 도달되는  유튜브 상위 노출의 모든 것","민진홍 , 최규문 ",380,21600
"나는 LINE 개발자입니다","강윤신 , 김영환 , 김재석 , 김정엽 , 김택주 , 노승헌 , 박민우 , 배권한 , 이승진 , 이홍규 , 하태호 , 이서연 ",252,14400
"이더리움 블록체인 게임 개발","키더 아이어 , 크리스 대넌 ",240,22500
"예제로 배우는 블록체인","벨라이 바드르 , 리처드 호록스 , 쉰 (브라이언) 우 ",580,32400
"파이썬을 활용한 머신러닝 쿡북","크리스 알본 ",508,29700
"전문가를 위한 C++(개정4판)","마크 그레고리 ",1496,61200
"Head First Agile : 개념부터 시험 대비까지, 가장 애자일다운 안내서","앤드류 스텔만 , 제니퍼 그린 ",496,31500
"맛있는 디자인 라이트룸 CC","김주원 ",380,21600
"모던 자바 인 액션 : 람다, 스트림, 함수형, 리액티브 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",692,30600
"토크노믹스 : 블록체인이 가져올 차세대 비즈니스 경제학","숀 오 , 토머스 파워 ",484,23400
